vendor,model,size_class,host,intelligence_index,wh_per_query_central,wh_per_query_std,wh_per_query_low,wh_per_query_high,query_output_tokens,pue,cif_kgco2e_per_kwh,wue_site_l_per_kwh,water_ml_per_query,carbon_g_per_query,snapshot_date,wh_per_1k_output_tokens,method,confidence,featured
Anthropic,Claude 4 Sonnet,Large,Anthropic,39.0,9.466647511846183,2.656534481699219,6.810113030146964,12.123181993545401,1500,1.14,0.3,0.18,49.96396907831239,2.839994253553855,2026-08-12,6.311098341230789,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Anthropic,Claude 4.5 Sonnet,Large,Anthropic,43.0,9.790130857435296,2.1568631273402854,7.63326773009501,11.946993984775581,1500,1.14,0.3,0.18,51.67128012545325,2.937039257230589,2026-08-12,6.5267539049568635,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Anthropic,Claude 4.5 Haiku,Large,Anthropic,37.0,11.19948744289675,9.100115108714956,2.099372334181794,20.299602551611706,1500,1.14,0.3,0.18,59.109715830194,3.359846232869025,2026-08-12,7.466324961931167,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Anthropic,Claude 4 Opus,Large,Anthropic,,11.742046162221122,1.9211286586305385,9.820917503590584,13.66317482085166,1500,1.14,0.3,0.18,61.973283639343904,3.522613848666337,2026-08-12,7.828030774814081,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Anthropic,Claude 4.1 Opus,Large,Anthropic,,12.368804197569744,2.330487592291702,10.038316605278043,14.699291789861446,1500,1.14,0.3,0.18,65.28124657538388,3.710641259270922,2026-08-12,8.245869465046496,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
DeepSeek,DeepSeek V3 (Azure),Large,Azure,22.0,3.688776979905705,0.3215446333459621,3.3672323465597427,4.010321613251667,1500,1.12,0.34,0.3,17.034245125064555,1.2541841731679395,2026-08-12,2.4591846532704698,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
DeepSeek,DeepSeek R1 (Azure),Large,Azure,27.0,9.056053227096989,2.982354815010721,6.073698412086268,12.03840804210771,1500,1.12,0.34,0.3,41.81956008084431,3.079058097212976,2026-08-12,6.037368818064659,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Google,Gemini 2.5 Flash (Vertex),Large,Google,27.0,2.314486106821865,1.1790380425103186,1.1354480643115465,3.493524149332184,1500,1.09,0.231,0.3,3.18294924231741,0.5346462906758509,2026-08-12,1.5429907378812435,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Google,Gemini 2.5 Pro (AI Studio),Large,Google,35.0,2.5377477857669635,0.690289622304182,1.8474581634627816,3.2280374080711454,1500,1.09,0.231,0.3,3.489985257674017,0.5862197385121688,2026-08-12,1.6918318571779756,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Google,Gemini 2.5 Pro Vertex,Large,Google,35.0,3.154878658996889,0.9050745167951668,2.2498041422017225,4.059953175792056,1500,1.09,0.231,0.3,4.338681752143428,0.7287769702282814,2026-08-12,2.1032524393312593,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 4 Maverick,Micro,AWS,18.0,0.2347453860857503,0.0463516105795858,0.18839377550616448,0.2810969966653361,1500,1.14,0.3,0.18,1.2389614377199496,0.0704236158257251,2026-08-12,0.15649692405716686,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Meta,Llama 3.1 8B,Micro,AWS,12.0,0.2914259301767947,0.0613140790032763,0.2301118511735184,0.352740009180071,1500,1.14,0.3,0.18,1.53811538305942,0.0874277790530384,2026-08-12,0.19428395345119645,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 4 Scout,Micro,AWS,14.0,0.3272342575135363,0.0792398860909689,0.24799437142256742,0.4064741436045052,1500,1.14,0.3,0.18,1.7271079654451278,0.0981702772540609,2026-08-12,0.21815617167569087,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.2 1B,Nano,AWS,6.0,0.5178105658439371,0.0415401131615559,0.4762704526823812,0.5593506790054931,1500,1.14,0.3,0.18,2.7329496601489485,0.1553431697531811,2026-08-12,0.3452070438959581,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.2 3B,Nano,AWS,,0.8450650267402005,0.0688367082380731,0.7762283185021274,0.9139017349782735,1500,1.14,0.3,0.18,4.460164256921437,0.2535195080220601,2026-08-12,0.563376684493467,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.2 11B (Vision),Micro,AWS,9.0,0.9762261473211008,0.0734650921258574,0.9027610551952434,1.0496912394469582,1500,1.14,0.3,0.18,5.152418844913683,0.2928678441963302,2026-08-12,0.6508174315474006,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.1 70B Latency Optimized,Medium,AWS,12.0,1.5901014235653816,0.288785112128314,1.3013163114370676,1.8788865356936957,1500,1.14,0.3,0.18,8.392387934480867,0.4770304270696144,2026-08-12,1.0600676157102544,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.3 70B,Medium,AWS,14.0,1.6596510628709955,0.5221373644751829,1.1375136983958125,2.1817884273461785,1500,1.14,0.3,0.18,8.759463609721234,0.4978953188612987,2026-08-12,1.106434041913997,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Meta,Llama 3.1 405B Latency Optimized,Large,AWS,17.0,4.759344087393853,0.7015409279910337,4.057803159402819,5.4608850153848865,1500,1.14,0.3,0.18,25.11931710967661,1.427803226218156,2026-08-12,3.1728960582625683,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.2 90B (Vision),Large,AWS,,5.715810689151913,0.400886098282303,5.31492459086961,6.116696787434216,1500,1.14,0.3,0.18,30.167447153060728,1.7147432067455737,2026-08-12,3.8105404594346086,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.1 70B Standard,Medium,AWS,12.0,17.088064887724357,0.6344501919663631,16.453614695757995,17.72251507969072,1500,1.14,0.3,0.18,90.18900773373674,5.126419466317306,2026-08-12,11.392043258482905,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Meta,Llama 3.1 405B Standard,Large,AWS,17.0,22.71195334277994,4.534169304864704,18.177784037915234,27.246122647644643,1500,1.14,0.3,0.18,119.87129901126173,6.813586002833982,2026-08-12,15.14130222851996,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Mistral AI,Mistral Medium 3,Large,Azure,19.0,8.804178163435049,1.805530224664364,6.998647938770684,10.609708388099413,1500,1.12,0.34,0.3,40.656437019005416,2.993420575567917,2026-08-12,5.8694521089566996,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
Mistral AI,Mistral Large 2 (AWS),Large,AWS,,10.782426065798957,1.4665978031504323,9.315828262648525,12.249023868949388,1500,1.14,0.3,0.18,56.90850978306943,3.2347278197396854,2026-08-12,7.188284043865971,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
Moonshot,Kimi K2 Thinking,Large,AWS,41.0,6.242007223618148,2.157154863542725,4.084852360075423,8.399162087160873,1500,1.14,0.3,0.18,32.94465707286463,1.872602167085444,2026-08-12,4.161338149078765,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,GPT-4.1 nano,Small,Azure,13.0,0.6190121534531848,0.189463172943201,0.4295489805099838,0.8084753263963859,1500,1.12,0.34,0.3,2.858509694339171,0.2104641321740828,2026-08-12,0.4126747689687899,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 nano (minimal),Small,Azure,14.0,0.6340592509428441,0.0975154065438725,0.5365438443989716,0.7315746574867166,1500,1.12,0.34,0.3,2.927995040961062,0.2155801453205669,2026-08-12,0.4227061672952294,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,GPT-5 mini (minimal),Medium,Azure,21.0,1.788396509538271,0.4473132000481055,1.3410833094901655,2.2357097095863763,1500,1.12,0.34,0.3,8.258559595832088,0.6080548132430122,2026-08-12,1.1922643396921806,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4o (Nov),Large,Azure,17.0,2.261289023429691,0.6813861297265617,1.5799028937031294,2.942675153156253,1500,1.12,0.34,0.3,10.442309668909251,0.7688382679660949,2026-08-12,1.507526015619794,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,o3-mini,Medium,Azure,,2.3255797834920315,1.4639038869047645,0.8616758965872671,3.789483670396796,1500,1.12,0.34,0.3,10.739195214482844,0.7906971263872908,2026-08-12,1.550386522328021,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4.1 mini,Medium,Azure,23.0,2.7232852564135595,1.4446944862962745,1.278590770117285,4.167979742709834,1500,1.12,0.34,0.3,12.5757422733669,0.9259169871806104,2026-08-12,1.8155235042757063,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4o mini,Medium,Azure,,2.776198744745988,1.0823543793508223,1.6938443653951656,3.8585531240968103,1500,1.12,0.34,0.3,12.820089203416297,0.943907573213636,2026-08-12,1.850799163163992,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4.1,Large,Azure,26.0,3.1426061627647464,1.046758361722412,2.0958478010423343,4.189364524487159,1500,1.12,0.34,0.3,14.512106315910057,1.0684860953400137,2026-08-12,2.0950707751764974,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4o (Aug),Large,Azure,19.0,3.172021649312944,1.0980569786771208,2.073964670635823,4.270078627990065,1500,1.12,0.34,0.3,14.647942830577271,1.078487360766401,2026-08-12,2.1146810995419627,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 nano (medium),Small,Azure,26.0,3.3472323765094045,1.5233884565256697,1.8238439199837349,4.870620833035074,1500,1.12,0.34,0.3,15.457040938666642,1.1380590080131976,2026-08-12,2.2314882510062697,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4o (May),Large,Azure,,3.598315024734225,1.5673406100898732,2.0309744146443514,5.165655634824098,1500,1.12,0.34,0.3,16.616504739219117,1.2234271084096369,2026-08-12,2.39887668315615,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 mini (medium),Medium,Azure,39.0,3.6497432245846206,1.311064263454394,2.3386789611302268,4.9608074880390145,1500,1.12,0.34,0.3,16.85399281924255,1.240912696358771,2026-08-12,2.4331621497230804,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,GPT-5 (minimal),Large,Azure,24.0,4.3874851910451165,1.1154607474151654,3.272024443629951,5.502945938460282,1500,1.12,0.34,0.3,20.260779828647625,1.4917449649553398,2026-08-12,2.924990127363411,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,o4-mini (high),Medium,Azure,33.0,5.057517155385787,3.568467039497285,1.4890501158885017,8.625984194883072,1500,1.12,0.34,0.3,23.3548917211208,1.719555832831168,2026-08-12,3.3716781035905243,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,o3,Large,Azure,38.0,5.192896661334671,1.9586658545661324,3.2342308067685384,7.151562515900803,1500,1.12,0.34,0.3,23.98005493966332,1.7655848648537884,2026-08-12,3.461931107556447,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,GPT-5 nano (high),Small,Azure,27.0,6.363662159506669,2.917271608328139,3.44639055117853,9.280933767834808,1500,1.12,0.34,0.3,29.38648275800758,2.163645134232268,2026-08-12,4.242441439671112,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 (low),Large,Azure,39.0,6.377630228625111,2.61376932193111,3.763860906694001,8.99139955055622,1500,1.12,0.34,0.3,29.4509853057581,2.1683942777325376,2026-08-12,4.251753485750074,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
